x	y	label	group
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
185	-0.301029995663981	p > 0.05	-1
