xintercept	showSelected1
6.96969696969697	1
4.98348511212046	2
3.66804660479937	3
2.70977704230281	4
1.47720976705177	5
2.97116175292223	6
1.97741337844617	7
5.54193387335363	8
4.04275933825251	9
3.00442649820558	10
2.02507566107461	11
6.67821700014792	12
4.7923028201487	13
3.53767552132009	14
2.59816605698859	15
1.1307091024784	16
2.57809636057219	17
1.05184539170704	18
2.52050532004914	19
0.782507943462333	20
2.38194876848644	21
-0.38881125585399	22
3.14800423277264	23
2.20815060332839	24
-11.8946937672317	25
-7.96851152064545	26
-5.47282037669922	27
-4.01087642028994	28
-3.3319638552353	29
-3.16223970354179	30
